
ceci1234=>2021-06-09 00:14=>2021-06-09 00:16=>7.32=>auto
lola123=>2021-06-09 00:18=>2021-06-09 00:22=>14.64=>auto
lala123=>2021-06-09 17:12=>2021-06-09 21:32=>260=>auto
lola123=>2021-06-09 17:43=>2021-06-09 21:33=>75.9=>moto
llll123=>2021-06-09 17:54=>2021-06-09 21:33=>219=>auto
aaa123=>2021-06-09 20:33=>2021-06-09 21:34=>61=>auto
sss123=>2021-06-09 17:57=>2021-06-09 21:34=>217=>auto
56aa=>2021-06-09 21:03=>2021-06-09 21:34=>113.46=>auto
ceci567=>2021-06-09 00:18=>2021-06-09 21:34=>357.28=>auto
123asd=>2021-06-09 17:42=>2021-06-09 22:30=>288=>auto
jose123=>2021-06-09 00:18=>2021-06-11 14:48=>225=>moto
jose123=>2021-06-11 19:32=>2021-06-11 19:32=>0=>auto
PPP123=>2021-06-11 19:57=>2021-06-11 20:04=>25.62=>auto
EEE123=>2021-06-11 20:04=>2021-06-11 20:10=>21.96=>auto
